"Site.name","SiteNum","U_depth","L_depth","mid_point","BD_final","OC_final","CD_calc"
"DMA00 BR1","M0031",0.45293,0.48653,0.47,0.64,6.02,0.038
"DMA00 BR1","M0031",0.48653,0.52013,0.503,1.41,0.31,0.004
"NM98 T00","M0032",0,0.05,0.025,0.49,9.88,0.049
"NM98 T01","M0033",0,0.05,0.025,0.54,8.43,0.046
"NM98 T02","M0034",0,0.05,0.025,0.54,8.35,0.046
"NM98 T03","M0035",0,0.05,0.025,0.61,6.7,0.041
"NM98 T04","M0036",0,0.05,0.025,0.64,5.98,0.038
"NM98 T05","M0037",0,0.05,0.025,0.69,4.97,0.034
"NM98 T06","M0038",0,0.05,0.025,0.66,5.59,0.037
"NM98 T07","M0039",0,0.05,0.025,0.61,6.72,0.041
"NM98 T08","M0040",0,0.05,0.025,0.7,4.6,0.032
"NM98 T09","M0041",0,0.05,0.025,0.76,3.61,0.028
"NM98 T10","M0042",0,0.05,0.025,0.67,5.31,0.036
"NM98 T11","M0043",0,0.05,0.025,0.86,2.42,0.021
"NM98 T12","M0044",0,0.05,0.025,0.83,2.74,0.023
"NM98 T13","M0045",0,0.05,0.025,1.23,0.69,0.008
"NM98 T14","M0046",0,0.05,0.025,0.91,1.98,0.018
"NM98 T15","M0047",0,0.05,0.025,1.01,1.44,0.015
"NM98 T16","M0048",0,0.05,0.025,0.81,3,0.024
"NM98 T17","M0049",0,0.05,0.025,0.82,2.82,0.023
"NM98 T18","M0050",0,0.05,0.025,1.07,1.17,0.013
"NM98 T19","M0051",0,0.05,0.025,1.08,1.12,0.012
"NM98 T20","M0052",0,0.05,0.025,1.06,1.21,0.013
"NM98 P01S01","M0053",0,0.5,0.25,1.62,0,0.063
"NM98 P01S03","M0054",0,0.5,0.25,1.62,0,0.051
"NM98 P02S01","M0055",0,0.5,0.25,1.62,0,0.076
"NM98 P02SO3","M0056",0,0.5,0.25,1.62,0,0.05
"NM98 P03S01","M0057",0,0.4,0.2,1.62,0,0.046
"NM98 P03S02","M0058",0,0.5,0.25,1.62,0,0.059
"NM98 P03S03","M0059",0,0.5,0.25,1.62,0,0.056
"NM98 P04S01","M0060",0,0.5,0.25,1.62,0,0.058
"NM98 P04S02","M0061",0,0.5,0.25,1.62,0,0.073
"NM98 P04S03","M0062",0,0.5,0.25,1.62,0,0.062
"NM98 P05S01","M0063",0,0.5,0.25,1.62,0,0.053
"NM98 P05S02","M0064",0,0.5,0.25,1.62,0,0.069
"NM98 P05S03","M0065",0,0.5,0.25,1.62,0,0.064
"NM98 P06S01","M0066",0,0.4,0.2,1.62,0,0.063
"NM98 P06S02","M0067",0,0.5,0.25,1.62,0,0.053
"NM98 P06S03","M0068",0,0.5,0.25,1.62,0,0.073
"KLM02 Fringe","M0069",0,0.2,0.1,0.16,32.2,0.052
"KLM02 Transition","M0070",0,0.2,0.1,0.16,31.4,0.052
"KLM02 Dwarf","M0071",0,0.2,0.1,0.18,29.3,0.052
"MW03 D11","M0072",0,0.02,0.01,0.14,36.2,0.051
"MW03 D14","M0073",0,0.02,0.01,0.18,29.4,0.052
"MW03 E5","M0074",0,0.02,0.01,0.17,30.9,0.052
"MW03 E9","M0075",0,0.02,0.01,0.15,33.3,0.051
"MW03 G12","M0076",0,0.02,0.01,0.16,32.5,0.052
"MW03 H13","M0077",0,0.02,0.01,0.16,32.7,0.052
"MW03 I13","M0078",0,0.02,0.01,0.15,35.3,0.051
"MW03 MOW1","M0079",0,0.02,0.01,0.15,34.7,0.051
"LDL95 Rhizophora","M0080",0,0.05,0.025,0.82,2.8,0.023
"LDL95 Rhizophora","M0080",0,0.1,0.05,0.83,2.7,0.022
"LDL95 Rhizophora","M0080",0,0.15,0.075,0.83,2.7,0.022
"LDL95 Avicennia","M0081",0,0.05,0.025,0.63,6.1,0.039
"LDL95 Avicennia","M0081",0,0.1,0.05,0.75,3.8,0.029
"LDL95 Avicennia","M0081",0,0.15,0.075,0.75,3.8,0.029
"JI97 Itacuruca","M0082",0,0.01,0.005,0.78,3.4,0.026
"JI97 Paraiba do Sul","M0083",0,0.01,0.005,0.69,4.82,0.033
"DMA05 JJ1","M0084",0,0.023333333,0.012,0.96,1.67,0.016
"DMA05 JJ1","M0084",0.023333333,0.042666667,0.033,0.96,1.7,0.016
"DMA05 JJ1","M0084",0.042666667,0.063333333,0.053,0.89,2.15,0.019
"DMA05 JJ1","M0084",0.063333333,0.083,0.073,0.92,1.96,0.018
"DMA05 JJ1","M0084",0.083,0.102,0.093,0.8,3.08,0.025
"DMA05 JJ1","M0084",0.102,0.122333333,0.112,0.85,2.55,0.022
"DMA05 JJ1","M0084",0.122333333,0.142333333,0.132,0.87,2.32,0.02
"DMA05 JJ1","M0084",0.142333333,0.161666667,0.152,0.86,2.45,0.021
"DMA05 JJ1","M0084",0.161666667,0.187,0.174,0.89,2.18,0.019
"DMA05 JJ1","M0084",0.187,0.214333333,0.201,0.81,2.97,0.024
"DMA05 JJ1","M0084",0.214333333,0.245333333,0.23,0.82,2.8,0.023
"DMA05 JJ1","M0084",0.245333333,0.287333333,0.266,0.84,2.65,0.022
"DMA05 JJ1","M0084",0.287333333,0.325666667,0.307,0.86,2.4,0.021
"DMA05 JJ1","M0084",0.325666667,0.366333333,0.346,0.86,2.44,0.021
"DMA05 JJ1","M0084",0.366333333,0.405333333,0.386,0.88,2.23,0.02
"DMA05 JJ1","M0084",0.405333333,0.445333333,0.425,0.95,1.75,0.017
